sku,name,category,packaging_raw,order_options,recommended_order_qty,price_czk,points,source_row
21311,"Krém - balzám na padající vlasy, 500 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Master Herb,1 / 12 / 36,1/12/36,36,328.0,12.5,146
21310HM,"Šampón na padající vlasy, 420 ml",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Master Herb,1 / 24,1/24,24,418.0,14.7,147
21315HM,"Šampón na šedivějící vlasy, 420 ml",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Master Herb,1 / 24,1/24,24,387.0,13.9,148
20115HM,"Obnovující balzám na vlasy sextraktem ženšenu, 500 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Ženšen,1 / 15 / 30,1/15/30,30,282.0,10.5,150
20101HM,"Sada s extraktem ženšenu: šampon a maska na vlasy, 220 g + 100 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Ženšen,1 / 24 / 48,1/24/48,48,255.0,7.2,151
20151,Sleva březen - duben!!! Regenerační šampon s kořenem ženšenu,Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Ženšen,1 / 48,1/48,48,142.0,5.0,152
20102,"Vyživující šampón s kořenem ženšenu, 450 ml",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Ženšen,1 / 1 / 1 / 36 / 36,1/1/1/36/36,36,269.0,8.0,153
10304HM,"Hydratační vyživující krém na obličej, 50 g",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 12 / 96,1/12/96,96,164.0,5.1,155
10306,"Krém na vrásky na oční víčka, 50 g",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 12 / 96,1/12/96,96,194.0,6.6,156
10301,"Peeling na obličej, 80 g",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 12 / 96,1/12/96,96,164.0,5.1,157
10308,"Pleťové tonikum, 100 ml",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 96,1/96,96,177.0,6.0,158
10303HM,"Regenerační krém na obličej na vrásky, 50 g",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 12 / 96,1/12/96,96,164.0,5.1,159
10305,"Tónovací krém na obličej, 50 g",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 12 / 96,1/12/96,96,164.0,5.1,160
10305/01HM,"Tónovací krém na obličej, tón 01, 50 g",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 12 / 12 / 12 / 96 / 96 / 96,1/12/12/12/96/96/96,96,164.0,5.1,161
10302HM,"Vyhlazující krém na obličej, 50 g",Kosmetické přípravky TianDe->Placentární série TianDe,1 / 12 / 96,1/12/96,96,164.0,5.1,162
44402-2,"Fytogel na nohy Slaviton, 125 g","Kosmetické přípravky TianDe->Série ""Altai Sacral""",1 / 96,1/96,96,282.0,8.9,164
64404-2,"Jemný gel pro intimní péči, 360 ml","Kosmetické přípravky TianDe->Série ""Altai Sacral""",1 / 48,1/48,48,250.0,8.5,165
34413-2,"Tělový krém „Tekutá náplast“, 125 g","Kosmetické přípravky TianDe->Série ""Altai Sacral""",1 / 96,1/96,96,282.0,8.9,166
34401-2,"Tělový masážní gel Orthophyt, 125 g","Kosmetické přípravky TianDe->Série ""Altai Sacral""",1 / 96,1/96,96,282.0,8.9,167
144313,"Mycí prostředek na nádobí na bázi plodů Mýdelníku, 500 ml","Kosmetické přípravky TianDe->Série ""Ekosféra""",1 / 25,1/25,25,385.0,12.0,169
980201,"Přírodní houba „Konjac“, 1 ks (ТМ EcoDeViva)","Kosmetické přípravky TianDe->Série ""Ekosféra""",1 / 288,1/288,288,116.0,3.8,170
41328HM,"AKCE březen-duben! Levandulová náplast na nohy, 2 ks","Kosmetické přípravky TianDe->Série ""Master Herb""",1 / 440,1/440,440,97.0,2.5,172
11307,"Čistící maska na obličej s projevy akné a jizvami, 35 g","Kosmetické přípravky TianDe->Série ""Master Herb""",1 / 1 / 1 / 10 / 10 / 360 / 360,1/1/1/10/10/360/360,360,57.0,2.2,173
11317,"Čistící náplast na nos Čisté póry, 1 ks","Kosmetické přípravky TianDe->Série ""Master Herb""",1 / 10 / 1440,1/10/1440,1440,27.0,1.0,174
41314HM,"Náplast na nohy, 2 ks","Kosmetické přípravky TianDe->Série ""Master Herb""",1 / 1 / 1 / 100 / 400 / 400,1/1/1/100/400/400,400,105.0,2.6,175
90175,"Zubní kartáček „Bambusové uhlí“, 1 ks","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 300,1/300,300,135.0,5.5,177
90198/04,"Zubní kartáček „ProDental Junior“, fialový, 1 ks","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 300,1/300,300,79.0,2.8,178
90198/02,"Zubní kartáček „ProDental Junior“, růžový, 1 ks","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 300,1/300,300,79.0,2.8,179
980148/03,"Zubní kartáček „ProDental“, zelený, 1 ks (ТМ EcoDeViva)","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 300,1/300,300,134.0,5.0,180
90153/03,"Zubní kartáček ProDental Junior, modrý, 1 ks","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 300,1/300,300,79.0,2.8,181
90153/01,"Zubní kartáček ProDental Junior, zelený, 1 ks","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 300,1/300,300,79.0,2.8,182
90148/02,"Zubní kartáček""ProDental"" modrý, 1 ks","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 30 / 300,1/30/300,300,134.0,5.0,183
90148/04,"Zubní kartáček""ProDental"",oranžový,1ks","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 30 / 300,1/30/300,300,134.0,5.0,184
60143,"Zubní pasta ProDental, 120 g","Kosmetické přípravky TianDe->Série ""ProDental""",1 / 12 / 72,1/12/72,72,444.0,16.9,185
44605,"De-expert!!!  Omlazující krém-booster na ruce s mucinem hlemýžďů, 60 g","Kosmetické přípravky TianDe->Série ""Snail Secret""",1 / 144,1/144,144,134.0,5.8,187
14604,"De-expert!!!  Regenerační tonikum s mucinem hlemýžďů, 80 ml","Kosmetické přípravky TianDe->Série ""Snail Secret""",1 / 48,1/48,48,552.0,25.0,188
14601,"De-expert!!! Vícefunkční krém na obličej s mucinem hlemýžďů, 5 ks x 10 ml","Kosmetické přípravky TianDe->Série ""Snail Secret""",1 / 250,1/250,250,592.0,25.0,189
14602,"De-expert!!! Vícefunkční krém na oči s mucinem hlemýžďů, 5 ks x 10 ml","Kosmetické přípravky TianDe->Série ""Snail Secret""",1 / 250,1/250,250,592.0,25.0,190
65301-2,"Volupta+ pro ženy, 15 g","Kosmetické přípravky TianDe->Série ""Volupta""",1 / 192,1/192,192,215.0,9.0,192
20117HM,"Šampon sextraktem aloe, 200 g",Kosmetické přípravky TianDe->Série Aloe Rich,1 / 1 / 1 / 12 / 12 / 48 / 48,1/1/1/12/12/48/48,48,153.0,4.2,194
20144HM,"Stylingový sprej na vlasy s Aloe „Objem a pružnost“, 200 ml",Kosmetické přípravky TianDe->Série Aloe Rich,1 / 60,1/60,60,211.0,6.0,195
12712,"AKCE březen - duben!  Jemné hydratační tonikum, 150 g",Kosmetické přípravky TianDe->Série Collagen Active,1 / 12 / 96,1/12/96,96,328.0,11.0,197
12707,"AKCE březen - duben! Modelující gel na tvar obličeje, 150 g",Kosmetické přípravky TianDe->Série Collagen Active,1 / 48,1/48,48,347.0,12.0,198
12705,"AKCE březen - duben! Zpevňující a liftingová emulze na obličej a krk, 100 g",Kosmetické přípravky TianDe->Série Collagen Active,1 / 48,1/48,48,347.0,12.0,199
12703HM,"Intenzivní liftingový krém na obličej, 50 g",Kosmetické přípravky TianDe->Série Collagen Active,1 / 48,1/48,48,347.0,12.0,200
12711,"Korigující maska na obličej Intenzivní lifting, 1 ks",Kosmetické přípravky TianDe->Série Collagen Active,1 / 1 / 400 / 400,1/1/400/400,400,66.0,2.4,201
12710,"Křišťálová kolagenová maska na oční víčka, 1 ks",Kosmetické přípravky TianDe->Série Collagen Active,1 / 1 / 1 / 1000 / 1000,1/1/1/1000/1000,1000,81.0,3.3,202
12704,"Liftingový krém na kontury očí, 15 g",Kosmetické přípravky TianDe->Série Collagen Active,1 / 48,1/48,48,442.0,14.9,203
32604,"Krémové tělové mléko „Slunečné olivy“, 350 g",Kosmetické přípravky TianDe->Série Hainan Tao,1 / 1 / 1 / 36 / 36,1/1/1/36/36,36,319.0,10.9,205
32602,"Krémový sprchový gel „Slunečné olivy“, 350 g",Kosmetické přípravky TianDe->Série Hainan Tao,1 / 1 / 1 / 36 / 36,1/1/1/36/36,36,221.0,7.4,206
11319HM,"Čistící gel na obličej, 100 g",Kosmetické přípravky TianDe->Série Master Herb na základě aloe,1 / 144,1/144,144,224.0,8.0,208
11321,"Gel na obličej s projevy akné BioComplex, 25 g",Kosmetické přípravky TianDe->Série Master Herb na základě aloe,1 / 120,1/120,120,342.0,10.5,209
11323HM,"Krém na obličej s projevy akné a jizvami, 20 ml",Kosmetické přípravky TianDe->Série Master Herb na základě aloe,1 / 120,1/120,120,269.0,10.0,210
11320,"Pleťová voda na aknózní pleť, 60 ml",Kosmetické přípravky TianDe->Série Master Herb na základě aloe,1 / 96,1/96,96,232.0,8.4,211
15102,"De-expert!!!  Regenerační pleťové tonikum, 100 ml",Kosmetické přípravky TianDe->Série Snake Factor,1 / 96,1/96,96,235.0,10.0,213
15105,"De-expert!!! Gel-aktiv proti vráskám na pleť kolem očí, 25 g",Kosmetické přípravky TianDe->Série Snake Factor,1 / 96,1/96,96,321.0,14.0,214
15103,"De-expert!!! Krém na zpevnění obličeje a vyhlazení vrásek,  55 g",Kosmetické přípravky TianDe->Série Snake Factor,1 / 96,1/96,96,321.0,13.2,215
15104,"De-expert!!! Krém pro komplexní obnovu pleti obličeje,  55 g",Kosmetické přípravky TianDe->Série Snake Factor,1 / 96,1/96,96,321.0,13.2,216
